Year,Growth Rate(Regional),Popularity,Cloud Market cap,place,Vendor,Market cap,Market ratio
2017,,26,0.73999999999999999,Singapore,Azure,,12.699999999999999
2018,,30,1.05,Singapore,Azure,,16.5
2019,,35,1.3799999999999999,Singapore,Azure,,18
2020,,40,1.75,Singapore,Azure,,20
2021,,46,2.3599999999999999,Singapore,Azure,,22
2016,,30,0.45000000000000001,Norway,Azure,,11
2017,,39,0.66000000000000003,Norway,Azure,,12.699999999999999
2018,,48,0.90000000000000002,Norway,Azure,,16.5
2019,,55,1.03,Norway,Azure,,18
2020,,61,1.21,Norway,Azure,,20
2021,,74,1.7,Norway,Azure,,22
